t,f_x,f_y,c_d,c_l
4.000079999999999814e+01,3.707097446563266452e+00,-1.285055113231185764e-02,2.965677957250613161e+01,-1.028044090584948611e-01
4.025670000000000215e+01,3.728201429879960394e+00,-2.282157115190433516e-03,2.982561143903968315e+01,-1.825725692152346813e-02
4.050560000000000116e+01,3.748223384239612432e+00,1.678972775069200590e-02,2.998578707391689946e+01,1.343178220055360472e-01
4.075410000000000110e+01,3.768526108109324646e+00,1.964961376350245204e-02,3.014820886487459717e+01,1.571969101080196163e-01
4.100240000000000151e+01,3.789100343892037870e+00,-5.735200874803725313e-03,3.031280275113630296e+01,-4.588160699842980250e-02
4.125059999999999860e+01,3.808154031730305089e+00,-3.443713574237976943e-02,3.046523225384244071e+01,-2.754970859390381555e-01
4.150520000000000209e+01,3.829779638052059898e+00,-2.384850947642370295e-02,3.063823710441647918e+01,-1.907880758113896236e-01
4.175200000000000244e+01,3.849307224908638858e+00,2.743203277777567228e-02,3.079445779926911086e+01,2.194562622222053783e-01
4.200540000000000163e+01,3.867251740081701250e+00,6.047824535188355000e-02,3.093801392065361000e+01,4.838259628150684000e-01
4.225079999999999814e+01,3.890865596281404937e+00,1.688585682768610485e-02,3.112692477025123949e+01,1.350868546214888388e-01
4.250119999999999720e+01,3.905366915844449505e+00,-6.860131416768945611e-02,3.124293532675559604e+01,-5.488105133415156489e-01
4.275610000000000355e+01,3.926185060471425015e+00,-8.101031432460943649e-02,3.140948048377140012e+01,-6.480825145968754919e-01
4.300110000000000099e+01,3.951956328290544551e+00,2.038078518876987322e-02,3.161565062632435641e+01,1.630462815101589857e-01
4.325619999999999976e+01,3.956815533061117662e+00,1.190431884785067562e-01,3.165452426448894130e+01,9.523455078280540498e-01
4.350209999999999866e+01,3.995213494697922307e+00,6.488698486543376109e-02,3.196170795758337846e+01,5.190958789234700888e-01
4.375229999999999819e+01,4.006933551570607044e+00,-8.107527815914609970e-02,3.205546841256485635e+01,-6.486022252731687976e-01
4.400119999999999720e+01,4.025674365097506424e+00,-1.185262720574433853e-01,3.220539492078005139e+01,-9.482101764595470828e-01
4.425560000000000116e+01,4.072051120441900984e+00,8.311512015857516755e-03,3.257640896353520787e+01,6.649209612686013404e-02
4.450319999999999965e+01,4.066864003409582651e+00,1.132343706281827150e-01,3.253491202727666121e+01,9.058749650254617203e-01
4.475090000000000146e+01,4.125057940681230662e+00,5.005531323090489648e-02,3.300046352544984529e+01,4.004425058472391719e-01
4.500569999999999737e+01,4.127260237805434606e+00,-7.768459100305200038e-02,3.301808190244347685e+01,-6.214767280244160030e-01
4.525419999999999732e+01,4.164620318621706119e+00,-7.213488712183258045e-02,3.331696254897364895e+01,-5.770790969746606436e-01
4.550370000000000203e+01,4.190614687640305647e+00,3.751182243290683560e-02,3.352491750112244517e+01,3.000945794632546848e-01
4.575330000000000297e+01,4.196549822396635321e+00,7.593175035494757752e-02,3.357239857917308257e+01,6.074540028395806202e-01
4.600330000000000297e+01,4.240998365598975361e+00,-5.653252292433769144e-03,3.392798692479180289e+01,-4.522601833947015315e-02
4.625359999999999872e+01,4.226000723308893647e+00,-6.915774089824335003e-02,3.380800578647114918e+01,-5.532619271859468002e-01
4.650379999999999825e+01,4.274263223622212671e+00,-1.480744218731748496e-02,3.419410578897770137e+01,-1.184595374985398797e-01
4.675419999999999732e+01,4.252693039274651809e+00,5.940915242498819027e-02,3.402154431419721448e+01,4.752732193999055221e-01
4.700430000000000064e+01,4.293389021853759147e+00,2.713492027096023329e-02,3.434711217483007317e+01,2.170793621676818663e-01
4.725469999999999970e+01,4.275299201449005437e+00,-4.890868767440341436e-02,3.420239361159204350e+01,-3.912695013952273149e-01
4.750460000000000349e+01,4.303100093662775905e+00,-3.322902515210184038e-02,3.442480074930220724e+01,-2.658322012168147230e-01
4.775500000000000256e+01,4.293000215722297952e+00,4.020559873471790668e-02,3.434400172577838362e+01,3.216447898777432535e-01
4.800480000000000302e+01,4.307528943684680200e+00,3.655847072476334225e-02,3.446023154947744160e+01,2.924677657981067380e-01
4.825500000000000256e+01,4.306039650826511078e+00,-3.278124823033737312e-02,3.444831720661208863e+01,-2.622499858426989849e-01
4.850480000000000302e+01,4.309308335606438334e+00,-3.782405019854054307e-02,3.447446668485150667e+01,-3.025924015883243445e-01
4.875439999999999685e+01,4.315480390793069887e+00,2.740563522000269425e-02,3.452384312634455910e+01,2.192450817600215540e-01
4.900410000000000110e+01,4.309842144486632165e+00,3.896855266495394265e-02,3.447873715589305732e+01,3.117484213196315412e-01
4.925319999999999965e+01,4.322410392813830882e+00,-2.256940253108895289e-02,3.457928314251064705e+01,-1.805552202487116231e-01
4.950260000000000105e+01,4.309815791941671748e+00,-3.925024603882079632e-02,3.447852633553337398e+01,-3.140019683105663706e-01
4.975130000000000052e+01,4.327614318633727031e+00,1.902364908132088417e-02,3.462091454906981625e+01,1.521891926505670734e-01
5.000039999999999907e+01,4.309532302226561917e+00,3.985021551636354353e-02,3.447625841781249534e+01,3.188017241309083483e-01
5.025540000000000163e+01,4.330281581978248973e+00,-1.730155196000972284e-02,3.464225265582599178e+01,-1.384124156800777827e-01
5.050419999999999732e+01,4.310284344495347142e+00,-3.926501726486293642e-02,3.448227475596277714e+01,-3.141201381189034914e-01
5.075240000000000151e+01,4.333434150405254925e+00,1.482410635583905623e-02,3.466747320324203940e+01,1.185928508467124498e-01
5.100099999999999767e+01,4.309773087366072453e+00,3.975048916040103963e-02,3.447818469892857962e+01,3.180039132832083171e-01
5.125560000000000116e+01,4.334731110787370056e+00,-1.394089027117724477e-02,3.467784888629896045e+01,-1.115271221694179582e-01
5.150399999999999778e+01,4.310307024867928938e+00,-3.921748016087139854e-02,3.448245619894343150e+01,-3.137398412869711883e-01
5.175180000000000291e+01,4.336838132176477956e+00,1.207253212738454429e-02,3.469470505741182365e+01,9.658025701907635430e-02
5.200019999999999953e+01,4.309774627009245407e+00,3.968005618274192403e-02,3.447819701607396325e+01,3.174404494619353923e-01
5.225439999999999685e+01,4.337471852199421107e+00,-1.166249320643827914e-02,3.469977481759536886e+01,-9.329994565150623309e-02
5.250260000000000105e+01,4.310234712659244849e+00,-3.920731073968157510e-02,3.448187770127395879e+01,-3.136584859174526008e-01
5.275019999999999953e+01,4.339028591417733338e+00,1.013799727029045250e-02,3.471222873134186671e+01,8.110397816232362000e-02
5.300480000000000302e+01,4.310680677619647128e+00,3.929029302934994305e-02,3.448544542095717702e+01,3.143223442347995444e-01
5.325240000000000151e+01,4.339329995011868668e+00,-9.999977763397963071e-03,3.471463996009494934e+01,-7.999982210718370457e-02
5.350050000000000239e+01,4.310165843726213808e+00,-3.923291028158931715e-02,3.448132674980971046e+01,-3.138632822527145372e-01
5.375450000000000017e+01,4.339521287323335308e+00,1.048213786060360475e-02,3.471617029858668246e+01,8.385710288482883801e-02
5.400249999999999773e+01,4.310588972688677245e+00,3.935208989636410082e-02,3.448471178150941796e+01,3.148167191709128065e-01
5.425650000000000261e+01,4.339627548823174585e+00,-1.049673853560036119e-02,3.471702039058539668e+01,-8.397390828480288949e-02
5.450439999999999685e+01,4.311011198148705148e+00,-3.894832407821435805e-02,3.448808958518964118e+01,-3.115865926257148644e-01
5.475189999999999912e+01,4.340762653264786053e+00,9.299258526534959213e-03,3.472610122611828842e+01,7.439406821227967370e-02
5.500630000000000308e+01,4.311437441907308710e+00,3.908219790632568025e-02,3.449149953525846968e+01,3.126575832506054420e-01
5.525370000000000203e+01,4.340773729767092526e+00,-9.410579064188032139e-03,3.472618983813674021e+01,-7.528463251350425711e-02
5.550160000000000338e+01,4.310930388486816867e+00,-3.904761724250445376e-02,3.448744310789453493e+01,-3.123809379400356301e-01
5.575549999999999784e+01,4.340743136725946805e+00,1.008338678333271787e-02,3.472594509380757444e+01,8.066709426666174299e-02
5.600330000000000297e+01,4.311345232180217479e+00,3.920090726611033527e-02,3.449076185744173983e+01,3.136072581288826822e-01
